JobTitle,Classification,Date
                    Helpdesk Support Officer and Security Administrator (Specialist),Engineering,11-08-16
                    Optical Engineer,Developer,11-08-16
                    Executive Assistant - APS Level 4 - National Outreach Network,Developer,11-08-16
                    Executive Assistant - APS Level 4 - National Outreach Network,Developer,11-08-16
"                    Executive Support Officer and Assistant Manager, Corporate Network Support Centre",Developer,11-08-16
"                    Executive Support Officer and Assistant Manager, Corporate Network Support Centre",Developer,11-08-16
                    IT Architect,Architects,11-08-16
                    Agreements Administrator,Engineering,04-08-16
                    Mechanical Technician,Engineering,04-08-16
                    Cyber Specialists - Offensive and Defensive Roles,Security,04-08-16
                    Aerospace Engineer,Developer,04-08-16
                    Naval Engineers - Various Disciplines,Developer,04-08-16
                    Naval Engineers - Various Disciplines,Developer,04-08-16
                    Engineering Manager,Developer,04-08-16
                    Enterprise Architect,Architects,04-08-16
                    Satellite Data Assimilation Research Scientist,Database Development,04-08-16
                    Software Developer - Product Generation,Developer,04-08-16
                    Biodiversity Information Application Developer,Developer,04-08-16
                    SAP Tester,Testing and Quality,04-08-16
                    APS Level 3 AV Technician,Engineering,04-08-16
                    IT Developer - Database & Applications,Database Development,04-08-16
                    Project Manager - Infrastructure,Engineering,04-08-16
                    Engineering Manager,Developer,28-07-16
                    Materiel Data Officer,Database Development,28-07-16
                    Engineering Technologist  Emergent Projects,Developer,28-07-16
                    Naval Engineers - Various Disciplines,Developer,28-07-16
                    Naval Engineers - Various Disciplines,Developer,28-07-16
                    Naval Engineers - Various Disciplines,Developer,28-07-16
                    Engineering Manager,Developer,28-07-16
                    Security Trainer,Security,28-07-16
                    Explosive Ordnance Armament Technician Manager (expected vacancy),Engineering,28-07-16
                    Explosive Ordnance Armament Technician Manager (expected vacancy),Engineering,28-07-16
                    Software Developers - Model Data Services,Database Development,28-07-16
                    .Net Developer,Developer,28-07-16
                   Multimedia Designer and Editor,Telecommunications,28-07-16
                   ETL and Reporting Developer,Developer,28-07-16
                    Cyber Specialists - Offensive and Defensive Roles,Security,21-07-16
                    Engineer Technologist,Developer,21-07-16
                    Aerospace Technician,Engineering,21-07-16
                    Engineering Manager,Developer,21-07-16
                    Material Data Officer,Database Development,21-07-16
                    ICT Security Specialist,Security,21-07-16
                    ICT Security Specialist,Security,21-07-16
                   Web Services Team Leader,Developer,21-07-16
                    Automation Tester,Testing and Quality,21-07-16
                    ICT Web Specialist,Developer,21-07-16
                    ICT Web Specialist,Developer,21-07-16
"                    Investigator, Passport Fraud (Specialist)",Security,21-07-16
                    Freedom of Information Practitioner,Telecommunications,21-07-16
                    Examiner of Patents - Electronics & Communications,Telecommunications,21-07-16
                    Examiner of Patents - Electronics & Communications,Telecommunications,21-07-16
                    Examiner of Patents - Electronics & Communications,Telecommunications,21-07-16
                    Examiner of Patents - Mechanical Engineering,Developer,21-07-16
                    APS 3 Community Connector Palm Island - Affirmative Measures,Testing and Quality,21-07-16
                    APS 3 Community Connector Palm Island - Affirmative Measures,Testing and Quality,21-07-16
                    Aurion Administrator,Engineering,21-07-16
                   Web Developer,Developer,21-07-16
                    Investigator,Security,14-07-16
                    Service Management Tool Administrator  VSM/vFire,Engineering,14-07-16
                    Investigator,Security,14-07-16
                    ICT Network Engineer,Developer,14-07-16
                    ICT Security Specialist,Security,14-07-16
                    SATCOM System Engineer,Developer,14-07-16
                    Electrical and Electronics Technician Team Leader,Engineering,14-07-16
                    Spectrum Engineer,Developer,14-07-16
                    Forecasting System Developer,Developer,14-07-16
                    Network Technician,Developer,14-07-16
                    Investigator,Security,14-07-16
                    UNIX System Administrator,Engineering,14-07-16
"                    Director, Scientific Data",Database Development,14-07-16
                    Applications Architect,Architects,14-07-16
                    IT Infrastructure System/DBA Administrator,Database Development,07-07-16
                    Investigator,Security,07-07-16
                    ICT Solution Architect,Architects,07-07-16
                    ICT System Administrator,Engineering,07-07-16
                    ICT System Administrator,Engineering,07-07-16
                    Chief Engineer,Developer,07-07-16
                    Signals Intelligence Technologist,Telecommunications,07-07-16
                    Software Developer,Developer,07-07-16
                    Web Developer - Full stack,Developer,07-07-16
                   Pharmacokineticist,Developer,07-07-16
                    Application Network Engineer,Developer,07-07-16
                    Data Quality Unit Officer,Database Development,07-07-16
                   Exchange Administrator - Messaging Services,Engineering,07-07-16
                    Assistant Director - Customer Data Quality,Database Development,07-07-16
"                    Domestics, Cooks and Weekend Cooks",Developer,07-07-16
                    APS 3 Community Connector Palm Island - Affirmative Measures,Testing and Quality,07-07-16
                    APS 3 Community Connector Palm Island - Affirmative Measures,Testing and Quality,07-07-16
                   Applications Developer (MS CRM Dynamics/.NET),Developer,07-07-16
                   Web Producer,Developer,07-07-16
                     ICT Security Specialist,Security,30-06-16
                     ICT Security Specialist,Security,30-06-16
                     ICT Security Specialist,Security,30-06-16
"                     Infrastructure Specialist, Australian Signals Directorate",Engineering,30-06-16
                     Engineering Technologist,Developer,30-06-16
"                    Assistant Director, eGov Information Layer & Web Access",Developer,30-06-16
"                    Director, Intranet and Internet Services",Developer,30-06-16
                    Data Warehouse and Reporting Delivery Officer,Database Development,30-06-16
                    Systems Architect,Architects,30-06-16
                     Mechanical Engineer,Developer,30-06-16
                     R&D Engineer (Mechanical & Automation),Developer,30-06-16
                    Molecular Technician,Engineering,23-06-16
                    MDBA 2017 Graduate,Database Development,23-06-16
                    Network Engineer - Deployable,Developer,23-06-16
                    Senior Advisor Enterprise Capability Office,Architects,23-06-16
                    Aerospace Technician Manager,Engineering,23-06-16
                    Information Security Technologist,Security,23-06-16
                    Information Security Technologist,Security,23-06-16
                    Prototype Engineering Manager,Developer,23-06-16
                    Prototype Engineering Manager,Developer,23-06-16
                    Prototype Engineering Manager,Developer,23-06-16
                    Engineering Technologist,Developer,23-06-16
                    Software Developer - Message Switching System,Developer,23-06-16
                   Application Development Manager,Developer,23-06-16
                    Web Content Editor,Developer,23-06-16
                    Electrician and Refrigeration Technician,Engineering,23-06-16
                    Fibre Optics Engineer,Developer,23-06-16
                    Chief Data Officer,Database Development,23-06-16
                    Director - Solutions Delivery,Architects,23-06-16
                    Director - Data Management,Database Development,23-06-16
"                    Assistant Director, Website Development/Support",Developer,23-06-16
                   IT Solutions Designer/Architect,Architects,23-06-16
                    Signals Intelligence Technologist,Telecommunications,16-06-16
                    ICT Enterprise Architects,Architects,16-06-16
                    ICT Communications Specialist,Telecommunications,16-06-16
"                    Manager, Network Coordination",Developer,16-06-16
"                    Assistant Director, Observations Infrastructure (ADOI)",Engineering,16-06-16
                    Dispute Resolution Officer,Architects,16-06-16
                    Aged Care Quality Assessor,Testing and Quality,16-06-16
                    Various Opportunities - Service Delivery,Testing and Quality,09-06-16
                   SOE Administrator,Engineering,09-06-16
                    Electrical & Electronics Technician,Engineering,09-06-16
                    Aeronautical Engineer,Developer,09-06-16
                    Acquisition Engineer,Developer,09-06-16
                    Non-Destructive Testing Level 3 (Science),Testing and Quality,09-06-16
                    Hydrology Data Specialist,Database Development,09-06-16
"                    Team Leader, Marine Networks",Developer,09-06-16
                    Website and Communication Coordinator,Developer,09-06-16
                    Business Architects,Architects,09-06-16
                    Applications Architect,Architects,09-06-16
                    Architecture Coordination & Support Officer,Architects,09-06-16
                    Architecture Repository Administrator,Architects,09-06-16
                    Security Architect,Architects,09-06-16
                    Infrastructure / Integration Architect,Architects,09-06-16
                    Siebel Developer,Developer,09-06-16
                    Siebel Developer,Developer,09-06-16
                    Data Hub Manager,Database Development,09-06-16
                   Transport Safety Investigator - Human Factors,Security,09-06-16
                    Data Analytics Specialist,Database Development,09-06-16
                    Team Leader (Night Attendant) and (HouseKeeping),Developer,09-06-16
                    ICT System Administrator,Engineering,09-06-16
                    Investigator,Security,09-06-16
                    ICT Communications Specialist,Telecommunications,02-06-16
                    Communications Engineering Manager,Developer,02-06-16
                    Mechanical Engineer,Developer,02-06-16
                    Multimedia Specialist,Telecommunications,02-06-16
                    Mechanical Technician,Engineering,02-06-16
                    Enterprise Architecture Office Team Lead,Architects,02-06-16
                    Java Developer,Developer,02-06-16
                   Messengerial Attendants (expected employment opportunity),Developer,02-06-16
                    Data Assurance and Dissemination Officer,Database Development,02-06-16
                    Audit and Assurance,Testing and Quality,26-05-16
                    Media Assistant,Telecommunications,26-05-16
                    Data Delivery and Insights Manager,Database Development,26-05-16
                    Data Support Officer,Database Development,26-05-16
                    Database Support & Developer,Database Development,26-05-16
                    Web & User Experience Design Lead,Developer,26-05-16
                    Web & User Experience Design Lead,Developer,26-05-16
                    Web & User Experience Design Lead,Developer,26-05-16
                    Infrastructure Specialist,Engineering,19-05-16
                    Applications Developer (Enterprise Data Warehouse),Architects,19-05-16
                    Lead Developer (Enterprise Data Warehouse),Architects,19-05-16
                    Developer and Lead Developer (Assistant Director),Developer,19-05-16
                    Information Security Technologist,Security,19-05-16
                    Chief Engineer,Developer,19-05-16
                    NICNAS Website and Communications Coordinator,Developer,19-05-16
                    Project Administrator,Engineering,19-05-16
                    Siebel Developer,Developer,19-05-16
                    Senior Developer Enterprise Data Warehouse Hadoop,Architects,19-05-16
                    EL 1 Assistant Director  Data Management,Database Development,19-05-16
                   IT Solutions Designer / Architect,Architects,19-05-16
                    APS4 Programmer,Developer,19-05-16
                    APS6 Programmer,Developer,19-05-16
                    Animal Attendant,Developer,12-05-16
                    Animal Attendant,Developer,12-05-16
                    Web Administrator,Developer,12-05-16
                    Science Developer: Land Data Assimilation,Database Development,12-05-16
                    Transport Security Inspector,Security,12-05-16
                    APS 3 Community Connector Palm Island - Special Measures,Testing and Quality,12-05-16
                    APS 3 Community Connector Palm Island - Special Measures,Testing and Quality,12-05-16
                    APS 3 Community Connector Palm Island - Special Measures,Testing and Quality,12-05-16
                    APS 3 Community Connector Palm Island - Special Measures,Testing and Quality,12-05-16
                    Investigator,Security,12-05-16
                   Investigator,Security,12-05-16
                   Investigator,Security,12-05-16
                   Investigator,Security,12-05-16
                    Integrity and Assurance Investigator,Security,05-05-16
                    ICT Vendor Managers,Developer,05-05-16
                    Coupled Modelling Programmer,Developer,05-05-16
                    Ocean Data Assimilation Scientist,Database Development,05-05-16
"                    Director, Technology Architecture",Architects,05-05-16
                    IT Security Administrator,Engineering,05-05-16
                    Fraud Investigator,Security,05-05-16
                    Fraud Investigator,Security,05-05-16
                    Investigator,Security,05-05-16
                   Application Review/Assessor Officer,Developer,05-05-16
                    Transport Safety Investigator - Pilot,Security,05-05-16
                   SAS BI and Reporting Developer,Developer,05-05-16
                   SAS BI and Reporting Developer,Developer,05-05-16
                   SAS BI and Reporting Developer,Developer,05-05-16
                   SAS BI and Reporting Developer,Developer,05-05-16
                    Data Scientist,Database Development,05-05-16
                    WITHDRAWN**Data Scientist**WITHDRAWN,Database Development,05-05-16
                    Data Scientist,Database Development,05-05-16
                    WITHDRAWN**Data Scientist**WITHDRAWN,Database Development,05-05-16
                    Aerospace Engineer,Developer,28-04-16
"                    Director, Website and Intranet Team",Developer,28-04-16
"                    Director, Website and Intranet Team",Developer,28-04-16
                    Customer Solutions Officer,Architects,28-04-16
"                    Team Leader  Dispute Resolution & Compliance/Advise, Support & Assistance",Architects,28-04-16
                    Seasonal Products Programmer,Developer,28-04-16
                    Hydrologist (Model Developer),Developer,28-04-16
                   Engineer Officer (Bay Class Cutter),Developer,28-04-16
                    Engineer Officer (Bay Class Cutter),Developer,28-04-16
                    Deputy Engineer Officer (Bay Class Cutter),Developer,28-04-16
                    Junior Developer,Developer,28-04-16
                    Lead Pega System Architect,Architects,28-04-16
"                    Various Opportunities, Engagement and Support",Testing and Quality,21-04-16
"                    Various Opportunities, Engagement and Support",Testing and Quality,21-04-16
"                    Various Opportunities, Engagement and Support  APS Level 5 & 6",Testing and Quality,21-04-16
                    Geospatial Data Manager,Database Development,21-04-16
                    Geospatial Data Manager,Database Development,21-04-16
                    Intranet Management Officer,Developer,21-04-16
                    Intranet Management Officer,Developer,21-04-16
                    Intranet Management Officer,Developer,21-04-16
                    Web Producer,Developer,21-04-16
                    Solution Architect,Architects,21-04-16
                    Infrastructure Architect,Architects,21-04-16
                    Developers,Developer,21-04-16
                    APS5 Investigator,Security,21-04-16
                   Cyber Security Technology and Tools Specialist,Security,21-04-16
                    Database Developer,Database Development,21-04-16
                    ICT Specialist: Web Application Development,Developer,21-04-16
                    Microsoft SQL Database Administrator,Database Development,21-04-16
                   SharePoint Administrator/Developer,Developer,21-04-16
                   Microsoft .NET Developer,Developer,21-04-16
                    Mechanical Fitter,Engineering,21-04-16
                    Network Engineer,Developer,14-04-16
                    Electronics Engineer,Developer,14-04-16
                    ICT Security Specialist,Security,14-04-16
                    State Network Executive Support Coordinator,Developer,14-04-16
                    State Network Executive Support Coordinator,Developer,14-04-16
                    Web Producer,Developer,14-04-16
                   Web and eLearning Developer,Developer,14-04-16
"                    Secure Network, Telecommunications and Gateway Engineer",Developer,14-04-16
"                    Secure Network, Telecommunications and Gateway Engineer",Developer,14-04-16
                    TRIM Administrator,Engineering,14-04-16
                    Satellite Ground Station Engineer,Developer,14-04-16
                    Transport Safety Investigator,Security,14-04-16
                    Carpenter Joiner / Cabinet Maker,Developer,14-04-16
                    Carpenter Joiner / Cabinet Maker,Developer,14-04-16
                    Carpenter Joiner / Cabinet Maker,Developer,14-04-16
                   People & Development Support Administrator,Engineering,14-04-16
                     Cyber & Electronic Warfare Division - Various Positions,Security,07-04-16
"                     National Security & Intelligence, Surveillance & Reconnaissance Division - Various",Security,07-04-16
                    Data and Programme Officer,Database Development,07-04-16
                     Report Developer and Team Leader,Developer,07-04-16
"                    Assistant Director, Data Mining",Database Development,07-04-16
"                    Assistant Director, Data Mining",Database Development,07-04-16
"                    Assistant Director, Data Mining",Database Development,07-04-16
"                    Assistant Director, Data Mining",Database Development,07-04-16
"                    Assistant Director, Data Mining",Database Development,07-04-16
"                    Assistant Director, Data Mining",Database Development,07-04-16
                    Specialist Geophysical Networks,Developer,07-04-16
                    Specialist Geophysical Networks,Developer,07-04-16
                   Infrastructure Designer,Engineering,07-04-16
                   Infrastructure Design Manager,Engineering,07-04-16
                   Business Intelligence Desiger / Architect,Architects,07-04-16
                    Security Administrator,Engineering,07-04-16
                    Investigator (expected vacancy),Security,31-03-16
                    Data Analytics Specialist,Database Development,31-03-16
                    Data Analytics Specialist,Database Development,31-03-16
                    Data Analytics Specialist,Database Development,31-03-16
                    APS6 Java Developer,Developer,31-03-16
"                    Director, Collection Infrastructure Branch",Engineering,31-03-16
                    Media Producer,Telecommunications,31-03-16
                    Software Tester,Developer,31-03-16
                    Transport Safety Investigator,Security,31-03-16
                     Development Lead - Microsoft Solutions,Architects,31-03-16
                    Regional Office Administrator,Engineering,24-03-16
                     Naval Engineers - Various Disciplines,Developer,24-03-16
                     Maintenance Manager - Full Cycle Dockings,Developer,24-03-16
                     Estate Project Administrator,Engineering,24-03-16
                     Estate Project Administrator,Engineering,24-03-16
                     Software Developer - Australian Signals Directorate,Developer,24-03-16
                     Cyber & Electronic Warfare Division - Various Positions,Security,24-03-16
                     Cyber & Electronic Warfare Division - Various Positions,Security,24-03-16
                     Cyber & Electronic Warfare Division - Various Positions,Security,24-03-16
                     Cyber & Electronic Warfare Division - Various Positions,Security,24-03-16
"                     National Security & Intelligence, Surveillance & Reconnaissance Division - Various",Security,24-03-16
"                     National Security & Intelligence, Surveillance & Reconnaissance Division - Various",Security,24-03-16
"                    Director, Data Strategy",Database Development,24-03-16
                    Web Solutions Lead,Architects,24-03-16
                    Digital Solutions Architect,Architects,24-03-16
                    Application Review/Assessor Officer,Developer,24-03-16
                    Corporate Network Support Officer,Developer,24-03-16
                    IT Information Architect,Architects,24-03-16
                    Communications Assistant,Telecommunications,17-03-16
                     APS6 Solution Architect,Architects,17-03-16
                     EL1 Enterprise Architect,Architects,17-03-16
                    Time Series System Administrator,Engineering,17-03-16
                    Special Investigator,Security,17-03-16
                     Digital Communication and Education Materials Creator,Telecommunications,17-03-16
                    Web Developer,Developer,17-03-16
                     Laboratory Testing & Quality Assurance,Testing and Quality,17-03-16
                    Medical Device Engineering or Biocompatibility Assessor,Developer,17-03-16
                     Medical Device Assessor (Engineering),Developer,17-03-16
                    Forensic Document Examiner,Security,17-03-16
                    Java Developer,Developer,17-03-16
                    Java Developer,Developer,17-03-16
                    Communications Strategist,Telecommunications,10-03-16
"                    EL2 Director, National IT Solutions for Domestic Violence",Architects,10-03-16
                     EL1 Solution Architect,Architects,10-03-16
                    Contract Administrator & Project Coordinator,Engineering,10-03-16
                     Helpdesk Administrator,Engineering,10-03-16
                    Data Warehouse Manager,Database Development,10-03-16
                    Chief Architect,Architects,10-03-16
                    Midrange Infrastructure Manager,Engineering,10-03-16
                    Investigators,Security,10-03-16
                    Principal Investigator,Security,03-03-16
                    Various Opportunities - Service Delivery,Testing and Quality,03-03-16
                    Applications Manager,Developer,03-03-16
                    Applications Manager,Developer,03-03-16
                    Software developer  Weather Forecasting,Developer,03-03-16
                    IT Application Support,Developer,03-03-16
                    Solutions Developer,Architects,03-03-16
                    Solutions Developer,Architects,03-03-16
                    Developer,Developer,03-03-16
                    Software Developer (C++/Python/Linux),Developer,03-03-16
                    Electrical/Building Services Engineer,Developer,03-03-16
                    Electrical/Building Services Engineer,Developer,03-03-16
                    Building Controls Engineer,Developer,03-03-16
                    Fire Engineer,Developer,03-03-16
                    Mechancial/Building Services Engineer,Developer,03-03-16
"                    Several Positions, Kitchenhands, Domestics, Cooks and Night Attendants",Developer,03-03-16
                    Title: Director AER Networks,Developer,03-03-16
                    Title: Director AER Networks,Developer,03-03-16
                    Title: Director AER Networks,Developer,03-03-16
                    IT Software Officer,Developer,03-03-16
                    IT Infrastructure System Administrator,Engineering,03-03-16
                    IT Infrastructure System Administrator,Engineering,03-03-16
                    IT Infrastructure System Administrator,Engineering,03-03-16
                    Director Infrastructure & Communication Services,Engineering,25-02-16
                    Director Infrastructure & Communication Services,Engineering,25-02-16
                    Principal Investigator/Conciliator,Security,25-02-16
                    Communications Assistant,Telecommunications,25-02-16
                    Naval Civilian Engineer Development Program,Developer,25-02-16
                    SAP Security Specialist,Security,25-02-16
                    Remediation Data Specialist,Database Development,25-02-16
                    Remediation Laboratory Specialist,Telecommunications,25-02-16
                    Communication Specialist,Telecommunications,25-02-16
                   Website Development Support,Developer,25-02-16
"                    Director, Alternative Dispute Resolution",Architects,18-02-16
                    Infrastructure Solutions Officer,Architects,18-02-16
                    Engineering Manager,Developer,18-02-16
                    Explosive Ordnance Armament Technician Manager,Engineering,18-02-16
                    Quality Control Supervisor,Testing and Quality,18-02-16
"                    Senior Analyst, Investment Solutions (2 positions)",Architects,18-02-16
                    Cabinet Liaison Officer,Developer,18-02-16
"                    Director, Data Science and Analytics",Database Development,11-02-16
                    ICT Security Specialist,Security,11-02-16
                    Helpdesk Administrator,Engineering,11-02-16
                   Database and Applications Developer (2 positions),Database Development,11-02-16
                    Web Design and Publishing Officer,Developer,11-02-16
                    Web Design and Publishing Officer,Developer,11-02-16
                    Web Designer,Developer,11-02-16
                    Web Developer,Developer,11-02-16
                    EL2 - Director Status Resolution,Architects,11-02-16
                    EL2 - Director Status Resolution,Architects,11-02-16
"                    Supervisor, Messengerial Attendants (expected vacancy)",Developer,11-02-16
"                    Supervisor, Messengerial Attendants (expected vacancy)",Developer,11-02-16
                    Capability Development (Engineering),Developer,04-02-16
"                    Assistant Director, Application Support",Developer,04-02-16
                    Marine Engineer Manager,Developer,04-02-16
                    Marine Engineer Manager,Developer,04-02-16
                    Superintendent,Developer,04-02-16
                    Superintendent,Developer,04-02-16
                    Superintendent,Developer,04-02-16
                    Superintendent,Developer,04-02-16
                    Payroll Administrator,Engineering,04-02-16
                   Web Developer,Developer,04-02-16
                     ICT Network Engineer,Developer,28-01-16
                     ICT Network Engineer - Voice & Video Specialist,Developer,28-01-16
                     Applications Manager,Developer,28-01-16
                     Scientific Officer Radar Data,Database Development,28-01-16
                     Director Infrastructure Projects - NBN Section,Engineering,28-01-16
                    Australian Border Force Marine Unit - Engineering Cadet,Developer,28-01-16
                     Australian Border Force Marine Unit - Engineering Cadet,Developer,28-01-16
                     Structural Engineer,Developer,28-01-16
                     Infrastructure Engineer,Developer,28-01-16
                     Structural Engineer,Developer,28-01-16
                     Computational Natural Hazard Modelling and Data Expert,Database Development,28-01-16
                    Investigator,Security,28-01-16
"                   Manager, End User Computing",Developer,28-01-16
"                   Manager, End User Computing",Developer,28-01-16
                    Assistant Data Manager,Database Development,21-01-16
                    Facilities Administrator,Engineering,21-01-16
"                    Assistant Director, ICT Infrastructure Support",Engineering,21-01-16
                    Audiovisual Repair Officer,Engineering,21-01-16
                    ICT Vendor Manager,Developer,21-01-16
                    Facility Security Manager - Fishermans Bend,Developer,21-01-16
                    Information Security Technician,Engineering,21-01-16
                    Information Security Technician,Engineering,21-01-16
                    Information Security Technician,Engineering,21-01-16
                    Information Security Technician,Engineering,21-01-16
                    Quality Assurance Officer - Engineering System Manager,Developer,21-01-16
                    ICT System Administrator - Windows Platform Services,Engineering,21-01-16
                    Satellite Data Assimilation Research Scientist,Database Development,21-01-16
                    Medical Device Assessor/Reviewer (Engineering),Developer,21-01-16
                    Medical Device Assessor (Engineering),Developer,21-01-16
                    Medical Device Assessor (Engineering),Developer,21-01-16
                    Patent Examiner - Mechanical and Chemical Engineering,Developer,21-01-16
                    Patent Examiner - Mechanical and Chemical Engineering,Developer,21-01-16
"                    Patent Examiner - Electronics, Communications and Computing",Telecommunications,21-01-16
                    Development Lead  Microsoft Solutions,Architects,21-01-16
                    EL1 Enterprise Architect,Architects,14-01-16
                    APS6 Solution Architect,Architects,14-01-16
"                    Assistant Director, Application Support",Developer,14-01-16
                    Scientific Programmer,Developer,14-01-16
                    SQL Server Database Administrator,Database Development,14-01-16
                    Citrix Engineer,Developer,14-01-16
                    Fisheries Data Officer,Database Development,07-01-16
                    Middleware Security Device Specialist,Security,07-01-16
                    Communications and Web Manager,Developer,07-01-16
                    Communications and Web Manager,Developer,07-01-16
                    EL1 Assistant Director - Network Support,Developer,07-01-16
                   Director Engineering - ICT,Developer,24-12-15
                     Helpdesk Administrator/Service Improvement Officer,Engineering,24-12-15
                     Helpdesk Administrator/Service Improvement Officer,Engineering,24-12-15
                     **Withdrawn** Australian Border Force Marine Unit - Engineering Cadets,Developer,24-12-15
                    **Withdrawn** Australian Border Force Marine Unit - Engineering Cadets,Developer,24-12-15
                   Data Centre Facilities Engineer,Database Development,24-12-15
                   Lotus Notes Developer,Developer,24-12-15
                     IT Solution Designer,Architects,24-12-15
                    Investigator,Security,03-12-15
                    ICT Architect,Architects,03-12-15
                    ICT Architect,Architects,03-12-15
                    Contracts Administrator,Engineering,03-12-15
                    Lead Application Developer,Developer,03-12-15
                    Web and Communication Officer,Developer,26-11-15
                     TRIM Administrator,Engineering,26-11-15
                     Signals Intelligence Manager - Intelligence Mission Data,Database Development,26-11-15
                    Electronics Engineer Manager,Developer,26-11-15
                    Engineering Manager,Developer,26-11-15
"                     Collection Managers (Moving Image, Print & Published, Research Data & Digital)",Database Development,26-11-15
"                     Collection Managers (Moving Image, Print & Published, Research Data & Digital)",Database Development,26-11-15
"                     Collection Managers (Moving Image, Print & Published, Research Data & Digital)",Database Development,26-11-15
"                     Project Manager, National Flood Warning Infrastructure Working Group",Engineering,26-11-15
                    Solution Developer,Architects,26-11-15
                    IT Security Administrator,Engineering,26-11-15
                     Infrastructure Architect,Architects,26-11-15
"                     Superintendent, Programme Development",Developer,26-11-15
                     Learning Administrator / Leading Border Force Officer,Engineering,26-11-15
                     Data Protection Engineer,Database Development,26-11-15
                    Data Protection Engineer/Team Lead,Database Development,26-11-15
                    Data Protection Engineer/Team Lead,Database Development,26-11-15
                    Data Protection Engineer/Team Lead,Database Development,26-11-15
                    Data Protection Engineer,Database Development,26-11-15
                   IT Software Officer,Developer,26-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
    Petroleum Data Officer - Digitisation Classification,Database Development,19-11-15
