JobTitle,Classification,JobType,Location,Salary,Level,Date,Description
                    Receptionist, Administration,                      Non-ongoing (Temporary),                     Perth | WA,"                       $41,469 - $42,998","              APS Level 4, DAFF Band 1",categorized-2007-08-09,"Job Description:Duties
Under limited direction manage a busy frontline reception including the greeting and directing of client enquires both face to face 
and via the telephone. Operation of a switchboard (Ericsson Dialog 4224 with 90 + extensions) and the receipt, logging and 
dispatch of mail.  Together with cashier duties in the form of the handling and receipt of public monies.  This role also provides 
administrative support  to the Business Strategy Group in the areas of security, uniforms, records management (TRIM) and 
facilities/assets monitoring and reporting.
Eligibility
Successful applicants must possess Australian citizenship, pass a medical assessment, hold a current drivers licence, pass all 
necessary security clearances and wear an official uniform at work. Applicants who have received a redundancy benefit from an 
APS Agency or a non APS Commonwealth employer within the past 12 months are ineligible to apply."
                     Levies Officer, Finance,                       Ongoing,                      Adelaide | SA,"                        $55,264 - $58,216","               APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
Enthusiastic, self-motivated professional and dedicated person is required to fill the position of Levies Officer in our Office 
located in Adelaide. 
The occupant of this position will, under limited direction and within the legislative framework, manage a caseload of levy 
payers, undertake research and conduct investigations into more complex matters.  Maximise revenue collection by utilising 
debt management techniques and risk analysis procedures.  The occupant will also be required to conduct compliance checks 
of records, undertake validation of levy returns/payments and liaise with individual persons, companies and bodies within the 
primary or associated industries.
Eligibility
Current Australian drivers licence.
There is a requirement for this position to undertake interstate travel from time to time."
                   Administration Officer, Administration,                     Ongoing,                    Barton | ACT,"                      $55,264 - $58,216","             APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
Assist and support in coordinating and implementing policy and program management activities administered by the Australian 
Government Natural Resource Management Team. Contribute to the management of projects and contracts including 
maintaining up to date records in Program Administrator, managing contract variations and assisting with section finances."
                   Administration Officer, Administration,                     Ongoing,                    Caberra | ACT,"                      $61,095 - $68,116","             APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
To assist and support in coordinating and implementing policy and programme management activities administered by the 
Australian Government Natural Resource Management Team. Assist in the financial management and record keeping for 
Natural Heritage Trust and National Action Plan for Salinity and Water Quality investment."
                    Website Design Manager, Developer,                      Ongoing,                     Barton | ACT,"                       $61,095 - $68,116","              APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
An enthusiastic, professional and dedicated person is required to fill the position in our Central Office located in Canberra.
In this position you will be responsible for maintenance and development of a number of web sites with a focus on user 
research, information architecture and design, web analytics and search engine optimisation."
                     IT Security Support Officer, Management,                       Ongoing,                      Barton | ACT,"                        $61,095 - $68,116","               APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
The Department of Agriculture, Fisheries and Forestry (DAFF) IT security group is seeking an additional team member to take 
on a support position within the IT Security Group. The successful applicant will be responsible for assisting the Departments IT 
Security Group in all aspects relating to IT security and ensuring the Department continues to meet its obligations under 
government guidelines while delivering services out to the Australian public.
The person sought will need to be IT experienced, self motivated and possess strong analytical skills. Applicants will also need 
to demonstrate a strong aptitude for learning new IT based tools and applications. The successful applicant will be expected to 
show initiative in refining their daily tasks and contributing positively to the groups overall business objectives
Eligibility
CIT qualifications in Information Technology or better."
                    Assistant Registrar, Administration,"                      Ongoing,  Full-time",                     Sydney | NSW,"                       $110,000 - $125,000",              Senior Executive Band 1,categorized-2007-08-09,"Job Description:Duties
Provide high level legal advice and assistance to the President and the Registrar including advice on the management of the 
Tribunal's caseload. Oversee the operations of the District Registries of the Tribunal. Devise and implement case management 
strategies.
Eligibility
Tertiary qualifications in Law and/or admission as a legal practitioner in Australia."
                      Legal Officer, Legal,                        Ongoing,                       Barton | ACT,"                         $53,770 - $66,711",                APS Level 5,categorized-2007-08-09,"Job Description:Duties
Please quote reference number 2247/CrJD.  The Criminal Justice Division offers a broad range of work on domestic and 
international criminal justice issues, including illicit drugs, firearms regulation, people trafficking, money laundering, foreign 
bribery, transnational organised crime, identity security and fraud, and crime prevention grants administration.  We would like to 
hear from applicants who want to work in a team environment at the cutting edge of criminal justice policy development.  We 
want to recruit policy officers and lawyers from a wide range of disciplines including: public administration, political science, arts, 
humanities or social sciences, and commerce.  Policy and project positions are available across each of the four branches in the 
Division: Strategic Policy Coordination Branch, Criminal Law Branch, National Law Enforcement Policy Branch and National 
Identity Security Branch.  Starting salary may be negotiated commensurate with skills and experience.  Work as part of a team 
on legal policy development and management and grants administration.  You must have high quality written and oral 
communication skills and the flexibility to handle competing tasks.  Your work will be critical to the ability of your team to achieve 
its goals and will involve project development and management, as well as preparing briefing material, correspondence, and 
reports.
Eligibility
Two referee reports, addressing the selection criteria, should be submitted with your online application.  This is a designated 
security assessed employment opportunity.
The  Legal Officer role requires a degree in law from an Australian tertiary institution, or a comparable overseas qualification, 
which, in the opinion of the Secretary, is appropriate to the duties of the office, or admission in Australia as a legal practitioner.  
The Legal Officer roles are best suited to applicants with 1-2 years post graduation employment experience.
About Attorney-General's Department
The Attorney-Generals Department has a challenging and exciting policy and program agenda.  The principal objective of the 
Department is to support the Australian Government in achieving a just and secure society.  The Department provides expert 
advice to Government on a wide range of legal and policy issues, including national and protective security, counter terrorism 
and critical infrastructure protection, emergency management, native title, criminal justice and crime prevention, international 
law, family law, legal assistance, administrative law, human rights, copyright and information law, indigenous law and justice, 
personal property securities law and the Australian background checking service.  It is also responsible for the administration of 
a number of important programs in these areas.  The Department is the key policy and coordinating body for the Attorney-
Generals portfolio and works in close cooperation with a wide range of judicial, legal and public sector bodies.
To be eligible for engagement applicants must be Australian citizens and will be required to satisfy health and character/security 
checks. The Department is committed to the principles of workplace diversity and provides a smoke-free working environment. 
So that selection committees can make appropriate interview arrangements, applicants who are of Aboriginal or Torres Strait 
Islander descent, come from a non-English speaking background, or have a disability may wish to indicate this in their 
applications. Selection for the employment opportunities  notified below will be made on the basis of specified criteria. It is in the 
interest of candidates to obtain the selection criteria and frame their applications accordingly.
Selection documents are also available on the Department's website, www.ag.gov.au under the heading 'Employment 
Opportunities' and from a 24 hour answering machine on (02) 6250 5656."
                      Legal Officer, Legal,                        Ongoing,                       Barton | ACT,"                         $43,254 - $66,711","                Legal Officer (APS Level 3, 4, 5 and 6)",categorized-2007-08-09,"Job Description:Duties
Please quote reference number 2250/SCID.  The Telecommunication & Surveillance Law Branch administers the 
Telecommunications (Interception and Access) Act 1979, the Surveillance Devices Act 2004 and relevant aspects of the 
Telecommunications Act 1997.  The Branch also supports the statutory role of the Agency Co-ordinator under the 
Telecommunications Act 1997.   In these roles the Branch deals with the challenges raised by the new and emerging 
technologies in the global telecommunications market.  One of the priorities of the Branch will be to focus on industry and 
agency education and compliance with legislative requirements.  This will include liaison with a broad range of stakeholders 
including the telecommunications industry, product vendors, international service providers, interception agencies and a broad 
range of Commonwealth and State agencies that utilise the provisions of the legislation.  Under guidance the Legal Officer will 
be required to develop legal policy and provide legal policy advice on a range of issues relating to legislation involving 
interception, surveillance and access to communications data. The successful applicant will deal with a broad range of 
stakeholders including law enforcement and national security agencies, the telecommunications industry and the Department of 
Communications, Information Technology and the Arts. The successful applicant will represent the branch at meetings with 
stakeholders where appropriate.
Eligibility
A degree in law from an Australian tertiary institution or a comparable overseas qualification which, in the opinion of the 
Secretary, is appropriate to the duties of the office.
About Attorney-General's Department
The Attorney-Generals Department has a challenging and exciting policy and program agenda.  The principal objective of the 
Department is to support the Australian Government in achieving a just and secure society.  The Department provides expert 
advice to Government on a wide range of legal and policy issues, including national and protective security, counter terrorism 
and critical infrastructure protection, emergency management, native title, criminal justice and crime prevention, international 
law, family law, legal assistance, administrative law, human rights, copyright and information law, indigenous law and justice, 
personal property securities law and the Australian background checking service.  It is also responsible for the administration of 
a number of important programs in these areas.  The Department is the key policy and coordinating body for the Attorney-
Generals portfolio and works in close cooperation with a wide range of judicial, legal and public sector bodies.
To be eligible for engagement applicants must be Australian citizens and will be required to satisfy health and character/security 
checks. The Department is committed to the principles of workplace diversity and provides a smoke-free working environment. 
So that selection committees can make appropriate interview arrangements, applicants who are of Aboriginal or Torres Strait 
Islander descent, come from a non-English speaking background, or have a disability may wish to indicate this in their 
applications. Selection for the employment opportunities  notified below will be made on the basis of specified criteria. It is in the 
interest of candidates to obtain the selection criteria and frame their applications accordingly.
Selection documents are also available on the Department's website, www.ag.gov.au under the heading 'Employment 
Opportunities' and from a 24 hour answering machine on (02) 6250 5656."
                      Litigation Manager, Legal,                        Ongoing,                       Barton | ACT,"                         $74,092 - $90,151",                Executive Level 1,categorized-2007-08-09,"Job Description:Duties
Please quote reference number 2249/ICCD.  Duties include:  Manage all aspects of mutual assistance and extradition cases 
which are subject to litigation;  Build and manage relationships with stakeholders including external legal providers, counsel, 
ministers offices, and litigation managers in other agencies;  Familiarity with mutual assistance and extradition case law, and 
practice and procedure;  Experience in litigation practice and procedure across jurisdictions;  Familiarity with administrative law, 
constitutional and legislative issues which arise in extradition and mutual assistance litigation;  Ability to recover the costs of 
litigation, and monitor and report on legal expenses;  Develop and maintain Branch litigation protocol; and contribute to the 
management of the Branch as required.
Eligibility
Senior Legal Officers require a degree in law from an Australian institution or a comparable overseas qualification which, in the 
opinion of the Secretary, is appropriate to the duties of office or the admission in Australia as a legal practitioner
About Attorney-General's Department
The Attorney-Generals Department has a challenging and exciting policy and program agenda.  The principal objective of the 
Department is to support the Australian Government in achieving a just and secure society.  The Department provides expert 
advice to Government on a wide range of legal and policy issues, including national and protective security, counter terrorism 
and critical infrastructure protection, emergency management, native title, criminal justice and crime prevention, international 
law, family law, legal assistance, administrative law, human rights, copyright and information law, indigenous law and justice, 
personal property securities law and the Australian background checking service.  It is also responsible for the administration of 
a number of important programs in these areas.  The Department is the key policy and coordinating body for the Attorney-
Generals portfolio and works in close cooperation with a wide range of judicial, legal and public sector bodies.
To be eligible for engagement applicants must be Australian citizens and will be required to satisfy health and character/security 
checks. The Department is committed to the principles of workplace diversity and provides a smoke-free working environment. 
So that selection committees can make appropriate interview arrangements, applicants who are of Aboriginal or Torres Strait 
Islander descent, come from a non-English speaking background, or have a disability may wish to indicate this in their 
applications. Selection for the employment opportunities  notified below will be made on the basis of specified criteria. It is in the 
interest of candidates to obtain the selection criteria and frame their applications accordingly.
Selection documents are also available on the Department's website, www.ag.gov.au under the heading 'Employment 
Opportunities' and from a 24 hour answering machine on (02) 6250 5656."
                      Senior Legal Officer, Consultants,                        Ongoing,                       Barton | ACT,"                         $74,092 - $90,151",                Executive Level 1,categorized-2007-08-09,"Job Description:Duties
Please quote reference number 2244/CrJD.  The Criminal Justice Division offers a broad range of work on domestic and 
international criminal justice issues, including illicit drugs, firearms regulation, people trafficking, money laundering, foreign 
bribery, transnational organised crime, identity security and fraud, and crime prevention grants administration.  We would like to 
hear from applicants who want to work in a team environment at the cutting edge of criminal justice policy development.  We 
want to recruit policy officers and lawyers from a wide range of disciplines including: public administration, political science, arts, 
humanities or social sciences, and commerce.  Policy and project positions are available across each of the four branches in the 
Division: Strategic Policy Coordination Branch, Criminal Law Branch, National Law Enforcement Policy Branch and National 
Identity Security Branch.  Starting salary may be negotiated commensurate with skills and experience.  Take responsibility for 
the development and implementation of criminal justice policy. You must have the ability to progress specific projects, often 
within tight timeframes.  Your work will require excellent written communication skills and the ability to engage effectively with 
domestic and international stakeholders.
Eligibility
Two referee reports, addressing the selection criteria, should be submitted with your online application.  This is a designated 
security assessed employment opportunity.
The Senior Legal Officer role requires a degree in law from an Australian tertiary institution, or a comparable overseas 
qualification, which, in the opinion of the Secretary, is appropriate to the duties of the office, or admission in Australia as a legal 
practitioner.
About Attorney-General's Department
The Attorney-Generals Department has a challenging and exciting policy and program agenda.  The principal objective of the 
Department is to support the Australian Government in achieving a just and secure society.  The Department provides expert 
advice to Government on a wide range of legal and policy issues, including national and protective security, counter terrorism 
and critical infrastructure protection, emergency management, native title, criminal justice and crime prevention, international 
law, family law, legal assistance, administrative law, human rights, copyright and information law, indigenous law and justice, 
personal property securities law and the Australian background checking service.  It is also responsible for the administration of 
a number of important programs in these areas.  The Department is the key policy and coordinating body for the Attorney-
Generals portfolio and works in close cooperation with a wide range of judicial, legal and public sector bodies.
To be eligible for engagement applicants must be Australian citizens and will be required to satisfy health and character/security 
checks. The Department is committed to the principles of workplace diversity and provides a smoke-free working environment. 
So that selection committees can make appropriate interview arrangements, applicants who are of Aboriginal or Torres Strait 
Islander descent, come from a non-English speaking background, or have a disability may wish to indicate this in their 
applications. Selection for the employment opportunities  notified below will be made on the basis of specified criteria. It is in the 
interest of candidates to obtain the selection criteria and frame their applications accordingly.
Selection documents are also available on the Department's website, www.ag.gov.au under the heading 'Employment 
Opportunities' and from a 24 hour answering machine on (02) 6250 5656."
                      Section Head, Management,                        Ongoing,                       Barton | ACT,"                         $85,454 - $102,679",                Executive Level 2,categorized-2007-08-09,"Job Description:Duties
Please quote reference number 2243/CrJD.  The Criminal Justice Division offers a broad range of work on domestic and 
international criminal justice issues, including illicit drugs, firearms regulation, people trafficking, money laundering, foreign 
bribery, transnational organised crime, identity security and fraud, and crime prevention grants administration.  We would like to 
hear from applicants who want to work in a team environment at the cutting edge of criminal justice policy development.  We 
want to recruit policy officers and lawyers from a wide range of disciplines including: public administration, political science, arts, 
humanities or social sciences, and commerce.  Policy and project positions are available across each of the four branches in the 
Division: Strategic Policy Coordination Branch, Criminal Law Branch, National Law Enforcement Policy Branch and National 
Identity Security Branch.  You will play a key role in securing the Governments criminal justice objectives.  Lead teams of 8-10 
people engaged in criminal justice policy work.  You must have the capacity to handle complex, high volume work; exercise 
initiative and judgment; manage stakeholder relationships; and represent the Department and the Australian Government.
Eligibility
Two referee reports, addressing the selection criteria, should be submitted with your online application.  This is a designated 
security assessed employment opportunity.  
The Principal Legal Officer role requires a degree in law from an Australian tertiary institution, or a comparable overseas 
qualification, which, in the opinion of the Secretary, is appropriate to the duties of the office, or admission in Australia as a legal 
practitioner.
About Attorney-General's Department
The Attorney-Generals Department has a challenging and exciting policy and program agenda.  The principal objective of the 
Department is to support the Australian Government in achieving a just and secure society.  The Department provides expert 
advice to Government on a wide range of legal and policy issues, including national and protective security, counter terrorism 
and critical infrastructure protection, emergency management, native title, criminal justice and crime prevention, international 
law, family law, legal assistance, administrative law, human rights, copyright and information law, indigenous law and justice, 
personal property securities law and the Australian background checking service.  It is also responsible for the administration of 
a number of important programs in these areas.  The Department is the key policy and coordinating body for the Attorney-
Generals portfolio and works in close cooperation with a wide range of judicial, legal and public sector bodies.
To be eligible for engagement applicants must be Australian citizens and will be required to satisfy health and character/security 
checks. The Department is committed to the principles of workplace diversity and provides a smoke-free working environment. 
So that selection committees can make appropriate interview arrangements, applicants who are of Aboriginal or Torres Strait 
Islander descent, come from a non-English speaking background, or have a disability may wish to indicate this in their 
applications. Selection for the employment opportunities  notified below will be made on the basis of specified criteria. It is in the 
interest of candidates to obtain the selection criteria and frame their applications accordingly.
Selection documents are also available on the Department's website, www.ag.gov.au under the heading 'Employment 
Opportunities' and from a 24 hour answering machine on (02) 6250 5656."
                     Personal Assistant, Administration,                       Ongoing,                      Barton | ACT,"                        $43,254 - $46,682",               APS Level 3,categorized-2007-08-09,"Job Description:Duties
Please quote reference number 2251/SCID.  The Telecommunication & Surveillance Law Branch administers the 
Telecommunications (Interception and Access) Act 1979, the Surveillance Devices Act 2004 and relevant aspects of the 
Telecommunications Act 1997.  The Branch also supports the statutory role of the Agency Co-ordinator under the 
Telecommunications Act 1997.  The Branch has three major focuses; these are industry compliance, policy development and 
the provision of legal advice.  These roles include liaison with a broad range of stakeholders including the telecommunications 
industry, product vendors, international service providers, interception agencies and a broad range of Commonwealth and State 
agencies that access communication records.  Under general direction provide administrative support to the Assistant 
Secretary, Telecommunications & Surveillance Law Branch.
About Attorney-General's Department
The Attorney-Generals Department has a challenging and exciting policy and program agenda.  The principal objective of the 
Department is to support the Australian Government in achieving a just and secure society.  The Department provides expert 
advice to Government on a wide range of legal and policy issues, including national and protective security, counter terrorism 
and critical infrastructure protection, emergency management, native title, criminal justice and crime prevention, international 
law, family law, legal assistance, administrative law, human rights, copyright and information law, indigenous law and justice, 
personal property securities law and the Australian background checking service.  It is also responsible for the administration of 
a number of important programs in these areas.  The Department is the key policy and coordinating body for the Attorney-
Generals portfolio and works in close cooperation with a wide range of judicial, legal and public sector bodies.
To be eligible for engagement applicants must be Australian citizens and will be required to satisfy health and character/security 
checks. The Department is committed to the principles of workplace diversity and provides a smoke-free working environment. 
So that selection committees can make appropriate interview arrangements, applicants who are of Aboriginal or Torres Strait 
Islander descent, come from a non-English speaking background, or have a disability may wish to indicate this in their 
applications. Selection for the employment opportunities  notified below will be made on the basis of specified criteria. It is in the 
interest of candidates to obtain the selection criteria and frame their applications accordingly.
Selection documents are also available on the Department's website, www.ag.gov.au under the heading 'Employment 
Opportunities' and from a 24 hour answering machine on (02) 6250 5656."
